[ReportsViewModel] CanExecuteViewReport: False (report: , CanAccessReports: True)
[ReportsViewModel] CanExecuteViewReport: True (report: Custom Report - 2025-07-13, CanAccessReports: True)
[ReportsViewModel] CanExecuteUpdateReport: False (report: , CanGenerateReports: True)
[ReportsViewModel] CanExecuteUpdateReport: True (report: Custom Report - 2025-07-13, CanGenerateReports: True)
[ReportsViewModel] CanExecuteDownloadReport: False (report: , CanExportReports: True)
[ReportsViewModel] CanExecuteDownloadReport: True (report: Custom Report - 2025-07-13, CanExportReports: True)
[ReportsViewModel] CanExecuteEmailReport: False (report: , CanExportReports: True)
[ReportsViewModel] CanExecuteEmailReport: True (report: Custom Report - 2025-07-13, CanExportReports: True)
[ReportsViewModel] CanExecuteDeleteReport: False (report: , CanGenerateReports: True)
[ReportsViewModel] CanExecuteDeleteReport: True (report: Custom Report - 2025-07-13, CanGenerateReports: True)
[ReportsViewModel] CanExecuteViewReport: False (report: , CanAccessReports: True)
[ReportsViewModel] CanExecuteViewReport: True (report: System-wide Financial Report - 2025-07-11, CanAccessReports: True)
[ReportsViewModel] CanExecuteUpdateReport: False (report: , CanGenerateReports: True)
[ReportsViewModel] CanExecuteUpdateReport: True (report: System-wide Financial Report - 2025-07-11, CanGenerateReports: True)
[ReportsViewModel] CanExecuteDownloadReport: False (report: , CanExportReports: True)
[ReportsViewModel] CanExecuteDownloadReport: True (report: System-wide Financial Report - 2025-07-11, CanExportReports: True)
[ReportsViewModel] CanExecuteEmailReport: False (report: , CanExportReports: True)
[ReportsViewModel] CanExecuteEmailReport: True (report: System-wide Financial Report - 2025-07-11, CanExportReports: True)
[ReportsViewModel] CanExecuteDeleteReport: False (report: , CanGenerateReports: True)
[ReportsViewModel] CanExecuteDeleteReport: True (report: System-wide Financial Report - 2025-07-11, CanGenerateReports: True)
[ReportsViewModel] CanExecuteViewReport: False (report: , CanAccessReports: True)
[ReportsViewModel] CanExecuteViewReport: True (report: System-wide Event Report - 2025-07-11, CanAccessReports: True)
